,title,date,keywords,section
161,赵桂云被誉为“巾帼英雄”,1993-06-01,"赵桂云,“巾帼英雄”,企业",3  
162,中国农村巾帼书画展即将开幕,1995-08-27,"农村,开幕,巾帼书画展",4  
163,女发明家盖翠香捧走巾帼杯,1990-10-22,"盖翠香,巾帼杯,“鲁豆２号”",3  
164,“文武双全”的巾帼名厨师葛贤萼,1983-11-14,"“文武双全”,葛贤萼,厨师",5  
165,巾帼竞芳，建功新时代（跨越·十年）,2012-10-19,"妇女,农村,政策",8  
166,巾帼建功　奋发进取,1991-03-08,"妇女,奋发进取,规划",1  
167,第二届全国女子摩托车远征队抵京,1992-09-28,"北京汽车摩托车拉力赛,第二届,路线",4  
168,“中央国家机关女司局长访谈”在人民网启动,2012-04-21,"中央国家机关女司,会谈,女司局长",4  
169,百余先进个人集体获“巾帼扫盲奖”,1990-11-08,"“巾帼扫盲奖”,先进个人,妇女",4  
170,巾帼建功创辉煌,2009-10-10,"妇女,成绩,人口",3  
171,巾帼战洪魔,1998-09-29,"巾帼战洪魔,海军女子陆战队,交战",3  
172,十余万巾帼成为我军建设重要力量,1987-03-05,"技术,精神文明建设,专业",1  
173,“巾帼建功”演讲团在京作首场报告,1992-03-04,"演说,演讲团,“巾帼建功”",4  
174,全国青年女足赛 六路巾帼战芜湖,1989-10-10,"全国青年女足,女子青年足球队,中国",4  
175,“巾帼英雄”——秋瑾（为了民族复兴·英雄烈士谱）,2018-04-07,"烈士,“巾帼英雄”,网友",4  
176,“第一位巾帼英雄”,1990-01-10,"“第一位巾帼英雄”,历史,《冼夫人》",8  
177,黑白世界鏖战　巾帼英雄逞威,1988-01-17,"芮乃伟,曹大元,形势",3  
178,增强妇女依法维权能力,2015-02-28,"妇女,维权,组织法",4  
179,巾帼英雄,1988-01-14,"新四军豫鄂独立游击支队,巾帼英雄,边区",5  
180,中国革命老区巾帼发展论坛在京举行,2008-11-16,"革命老区,巾帼发展论坛,老区巾帼发展",2  
181,巾帼英豪受尊敬 知识女性成明星,1998-03-04,"电影演员,知识女性,巾帼英豪",5  
182,巾帼英豪攀高峰,2002-03-25,"国际,医学,免疫球蛋白A",6  
183,首都各界集会纪念“三八”妇女节,1993-03-07,"“三八”,纪念,妇女",1  
184,全国妇联六届四次执委会在京闭幕,1991-11-09,"全国妇联六届四次执委会,闭幕,妇女",3  
185,陈慕华号召妇女积极参与“巾帼系列行动”,1996-01-13,"“巾帼系列行动”,妇女联谊组织,妇女工作",2  
186,山西二十万妇女参加长跑 中华巾帼软式网球队表演,1995-03-09,"妇女,中华巾帼软式网球队,“三八”",8  
187,巾帼力士李红玲超三项世界最好成绩,1987-05-15,"最好成绩,李红玲,第三名",3  
188,中央国家机关表彰百名“巾帼英雄”,2007-03-31,"中央国家机关,“巾帼英雄”,表彰",4  
189,巾帼豪气动钢城,1994-05-19,"辽宁省鞍山市轧钢厂,医院,书记",3  
190,巾帼英雄王玉荣,1997-11-10,"巾帼英雄,火车站公安分局,人质",11  
191,巾帼不让须眉　共创美好未来,2008-10-29,"妇女权益,美好未来,妇女事业",10  
192,巾帼不让须眉　共创美好未来,2008-10-29,"妇女权益,美好未来,妇女事业",1  
193,希望的种子,2002-03-03,"科技,专家,农业",7  
194,袁芬 地下工程巾帼兵（身边的感动）,2011-03-07,"袁芬,工程有限公司设计研究所,技术",19  
195,凝聚坚定不移跟党走的强大巾帼力量（在习近平新时代中国特色社会主义思想指引下——新时代新气象新作为·高端访谈）,2018-02-02,"社会主义,时代中国特色,坚定不移跟党",2  
196,9位优秀妇女展示当代女性风采,1999-03-05,"妇女,展览,报告会",4  
197,科教兴国巾帼精英,2000-09-06,"科技,汉族,科教兴国",12  
198,巾帼巧手塑巨雕,2011-03-14,"穆欣娜,塑像,《男工人与女庄员》",23  
199,全总授予湖南导游文花枝全国五一劳动奖章　十个集体和十名个人荣获“全国五一巾帼奖”荣誉称号,2006-02-22,"“全国五一巾帼奖”,女职工委员会,授予湖南导游",4  
200,妇女投身改革建设展英姿,1992-03-07,"妇女,建设,改革",1  
201,十二比四巾帼俏 男儿更当立壮志,1992-08-11,"中国,“阴盛阳衰”,奥运会",4  
202,下岗不失志　创业铸辉煌,2000-03-16,"下岗,创业,刘学芳",10  
203,众巾帼举重若轻 射击场连爆冷门,1997-10-15,"世界纪录,比赛,第一名",8  
204,"巾帼税务官公正廉洁执法
千余个体户恳请为其扬名",1993-10-16,"个体户,税务,公正廉洁",2  
